Wavelength (nm),Transmittance(%),Std.Dev.
190,0.0100089853319149,0.0104083706697244
191,0.0100000109795873,0.0204627945250057
192,0.0100000219591867,0.023617010105988
193,0.0100000219591867,0.0119284744738656
194,0.0100000219591867,0.0100350084965234
195,0.0100000219591867,0.0238935445787978
196,0.0100000219591867,0.04380825852428
197,0.0100000219591867,0.0208664478261688
198,0.0100000219591867,0.00675006570288389
199,0.0100000219591867,0.0120784350531272
200,0.0100000219591867,0.0175694471969737
201,0.0100000219591867,0.0354387580866147
202,0.0100000219591867,0.0226311161676354
203,0.0100000219591867,0.00849372578756313
204,0.0100000219591867,0.00542100101439236
205,0.0100000219591867,0.004964927420544
206,0.0100000219591867,0.012213978056751
207,0.0100000219591867,0.0256801825943497
208,0.0100000219591867,0.0130118947098731
209,0.0100000219591867,0.00735846264545688
210,0.0100000219591867,0.00627716364634036
211,0.0100000219591867,0.0215180903476789
212,0.0100000219591867,0.0410661394001393
213,0.0100000219591867,0.020944232167122
214,0.0100000219591867,0.0178013714664808
215,0.0100000219591867,0.0367530427376758
216,0.0100000219591867,0.0179417023133287
217,0.0100000219591867,0.0168766024201535
218,0.0100000219591867,0.0298340695181248
219,0.0100000219591867,0.0288312429386261
220,0.0100000219591867,0.0134581178242049
221,0.0100000219591867,0.015337917971313
222,0.0100000219591867,0.0230266041768623
223,0.0100000219591867,0.0251607973691914
224,0.0100000219591867,0.0490212233585917
225,0.0100000219591867,0.0233143082305916
226,0.0100000219591867,0.0051432063776645
227,0.0100000219591867,0.0093650769301695
228,0.0100000219591867,0.0096360784661496
229,0.0100000219591867,0.0190454003933121
230,0.0100000219591867,0.0183826837034183
231,0.0100000219591867,0.0167423247793342
232,0.0100000219591867,0.0135396248048331
233,0.0100000219591867,0.0101452535838601
234,0.0100000219591867,0.0178036436435871
235,0.0100000219591867,0.00835592735239745
236,0.0100000219591867,0.00941655094317426
237,0.0100000109795873,0.021466497516897
238,0.0100103591070396,0.0209387982665163
239,0.0100000109795873,0.00996136442678929
240,0.0102109265267393,0.00360208814875953
241,0.0113345493767049,0.00517255768681338
242,0.0100000109795873,0.00908999191287374
243,0.0100436509932285,0.018661605864471
244,0.0100000109795873,0.0141847871698272
245,0.0100000109795873,0.0240299187945061
246,0.0100562633475826,0.0146547027947092
247,0.0100000109795873,0.0173185258835925
248,0.0110285429506115,0.00951195373063189
249,0.0119056004779019,0.00882863677757548
250,0.0100000109795873,0.00652751009565284
251,0.0100863518005027,0.00752181237872808
252,0.0100000109795873,0.0123165313645074
253,0.0100000219591867,0.0239449547902081
254,0.0100000219591867,0.0123526186644477
255,0.0100000219591867,0.0118355358433057
256,0.0100000219591867,0.0170255080811257
257,0.0100000219591867,0.0215113218787258
258,0.0100000219591867,0.0108010713882915
259,0.0100000219591867,0.00572997548732598
260,0.0100000219591867,0.0104392316583103
261,0.0100000219591867,0.021274589920019
262,0.0100000219591867,0.0121369007199585
263,0.0100000109795873,0.00698188587505599
264,0.0100041621272462,0.00660281509261684
265,0.0100000109795873,0.00832900771919115
266,0.0101260983807433,0.00497673580457908
267,0.0100685709436353,0.0102708468098464
268,0.0100000109795873,0.0200776522611713
269,0.0138293240416693,0.0133874104191411
270,0.01004197495183,0.0117533538495948
271,0.0100107218151317,0.0154230821277945
272,0.0100000109795873,0.0153923960467166
273,0.0100179347402605,0.0166161994624726
274,0.0100000109795873,0.0275237055273295
275,0.0104437743328079,0.0136210796506891
276,0.0150872748359073,0.00881645918166171
277,0.0113287764320026,0.0132430009631232
278,0.0114872089138432,0.00721254355161661
279,0.0288592597281372,0.0125461058894412
280,0.0223961554561885,0.0204078352717373
281,0.0100000109795873,0.0116345644082671
282,0.0100000109795873,0.0111379157815846
283,0.0109129681162287,0.00757348326432573
284,0.0114861999601999,0.0156541171620565
285,0.0100000109795873,0.0207883496150091
286,0.0100000109795873,0.013773017615413
287,0.0118943248135092,0.0135345355387134
288,0.0115199217134915,0.0243569459372584
289,0.0100000109795873,0.0182204337230167
290,0.0102667194369097,0.0246715076299169
291,0.0100000109795873,0.0201813428097359
292,0.0152951290761229,0.014344109928192
293,0.014849323766935,0.0125203096207693
294,0.010263732677997,0.0140427882954407
295,0.0100898519155254,0.0226129569530483
296,0.0100000109795873,0.0228357149529129
297,0.0162326749014407,0.0283481661409576
298,0.010045448637934,0.0313202356282955
299,0.019165906012963,0.0283287341165947
300,0.0118256352135847,0.00809268429772821
301,0.0100000219591867,0.00951037362172537
302,0.0112431514678592,0.0111417969777624
303,0.0100000109795873,0.0102129966994656
304,0.0100000109795873,0.00750675684247037
305,0.0110712851416642,0.00795023176070012
306,0.0200906621845685,0.0282108102205136
307,0.0100000109795873,0.0126739253833364
308,0.0101027108551202,0.0202940236551487
309,0.0116265575371239,0.0119047695151677
310,0.0152798714803449,0.0145160908489906
311,0.0100000109795873,0.00755790828697076
312,0.0101930939341638,0.00812235557609748
313,0.0100000109795873,0.00627473976726229
314,0.0100000219591867,0.0110421823811265
315,0.0100000219591867,0.0133318895038092
316,0.0100000219591867,0.011514004740294
317,0.0100000219591867,0.00790889078904062
318,0.0100000219591867,0.0126272556086551
319,0.0100000109795873,0.0142385817660849
320,0.0100379183255753,0.0256290797570449
321,0.0100000109795873,0.0128466911693765
322,0.0109820703941897,0.0100852707869163
323,0.0102028800788707,0.0150608309359711
324,0.0100000109795873,0.00798801742568154
325,0.0100080622609476,0.00518820783203156
326,0.0100000109795873,0.00869236618103888
327,0.0100000219591867,0.00819634720634616
328,0.0100000219591867,0.00989619041542855
329,0.0100000109795873,0.0124712324612185
330,0.0102685795560331,0.00977887516032389
331,0.0145549299763238,0.0167162780488143
332,0.0100000109795873,0.0111462657253241
333,0.0111201740230894,0.00599244816335326
334,0.016074259730351,0.0123463185870833
335,0.0100000109795873,0.0148163460623239
336,0.0124313195713982,0.0122867359213006
337,0.0160776310168954,0.0210947016809376
338,0.0100000109795873,0.0065124652626073
339,0.0147582370245676,0.00858758219673485
340,0.0146160563203888,0.0142345530758472
341,0.0114604763967725,0.00728199580484129
342,0.012173403725871,0.0120161158642919
343,0.0100000109795873,0.0110677833846073
344,0.0100000109795873,0.00993391671829862
345,0.0146445207346497,0.0119756359998454
346,0.0111617883644378,0.00813039730378844
347,0.013361272347664,0.0057028989923391
348,0.0344615967146017,0.0131504263036797
349,0.0115350591267305,0.0106167020205339
350,0.0100000109795873,0.0134253014777479
351,0.0100000109795873,0.00791603923492766
352,0.0278620486534153,0.0267525380198552
353,0.0100660618009913,0.0052725805472284
354,0.040375571165313,0.0180700252628721
355,0.0173208713689448,0.0200778498653609
356,0.0101779070792505,0.0182277848297221
357,0.0105601178769444,0.0166379753466873
358,0.0134796682246989,0.0136299449553134
359,0.0197538790138288,0.0126867191172125
360,0.0105566864426541,0.0105300253896799
361,0.0102864651499757,0.0175014563082557
362,0.0199122322608576,0.0174321479203105
363,0.0248940611899634,0.0151420246075763
364,0.0473642649509102,0.0346090969593208
365,0.0218752940408287,0.0344914063722772
366,0.0100000109795873,0.0174065903063478
367,0.0105334724502831,0.0129191428518705
368,0.0188727849341217,0.0153171252381602
369,0.0240878362701072,0.0195217208417971
370,0.0110675539376242,0.00851881723176429
371,0.0319745976331281,0.0210877690445077
372,0.0327942433515773,0.017313767749051
373,0.011114412638941,0.011127956478204
374,0.0212951842776105,0.0325920299696952
375,0.0111850606615552,0.0107281032604204
376,0.0201011207324246,0.0230612635251487
377,0.0100000109795873,0.0175136232537655
378,0.0100000109795873,0.0168837728596434
379,0.0159104188902374,0.0156198558598721
380,0.0190393500489765,0.0252874995223284
381,0.0159393213238806,0.0139985522588442
382,0.017251652889113,0.0140235398486856
383,0.0177650354388868,0.0122216266946798
384,0.0165563128028016,0.0226395351863615
385,0.0100000109795873,0.0150742810607181
386,0.0104410799760864,0.0162002984523277
387,0.0100000109795873,0.0202217900345045
388,0.0168998319186172,0.0217489475079296
389,0.0103383224416693,0.010737369023347
390,0.017370425894366,0.0107602954932522
391,0.0179967147664032,0.0116889443977151
392,0.0268073061279472,0.0363128216402849
393,0.0100000109795873,0.0117683451229469
394,0.0100416000861129,0.0138500434616002
395,0.0107009722255963,0.00844271456763299
396,0.0187967248349861,0.0108585011997345
397,0.0181049860649489,0.0132112712459194
398,0.0153074436013654,0.0133335281688468
399,0.0100000109795873,0.00864570544257504
400,0.0144921974677478,0.00961941773471004
401,0.0398410112105223,0.0254711464244053
402,0.0187689665805919,0.0256868199338777
403,0.0100000109795873,0.014762190770074
404,0.014523115255453,0.00968783474875597
